timestamp,bid,ask,volume
2026-05-01 10:00:00.083770238,156.98851,157.00851,62
2026-05-01 10:00:00.221175686,156.98739,157.00739,4
2026-05-01 10:00:00.380353912,156.98778,157.00778,6
2026-05-01 10:00:00.969789632,156.9866,157.0066,90
2026-05-01 10:00:01.634675171,156.98771,157.00771,80
2026-05-01 10:00:01.734296528,156.98764,157.00764,72
2026-05-01 10:00:01.735233732,156.98773,157.00773,92
2026-05-01 10:00:01.749127928,156.98745,157.00745,16
2026-05-01 10:00:02.891116982,156.98822,157.00822,38
2026-05-01 10:00:02.954083962,156.98901,157.00901,49
2026-05-01 10:00:04.305159610,156.98934,157.00934,61
2026-05-01 10:00:04.704413481,156.98991,157.00991,65
2026-05-01 10:00:05.161382687,156.98969,157.00969,83
2026-05-01 10:00:05.684479871,156.99024,157.01024,50
2026-05-01 10:00:06.522013771,156.9899,157.0099,17
2026-05-01 10:00:06.792589926,156.9899,157.0099,28
2026-05-01 10:00:08.007078212,156.98963,157.00963,44
2026-05-01 10:00:09.247863792,156.98917,157.00917,12
2026-05-01 10:00:09.746105151,156.98848,157.00848,70
2026-05-01 10:00:10.284070170,156.98895,157.00895,71
2026-05-01 10:00:10.611519021,156.99026,157.01026,72
2026-05-01 10:00:11.268757378,156.99143,157.01143,3
2026-05-01 10:00:14.343373577,156.99017,157.01017,49
2026-05-01 10:00:16.901811845,156.99146,157.01146,21
2026-05-01 10:00:18.951520173,156.99114,157.01114,8
2026-05-01 10:00:21.750273764,156.99174,157.01174,64
2026-05-01 10:00:22.475889766,156.99084,157.01084,92
2026-05-01 10:00:23.171497950,156.99098,157.01098,59
2026-05-01 10:00:26.325441681,156.99129,157.01129,30
2026-05-01 10:00:26.781557890,156.98981,157.00981,32
2026-05-01 10:00:27.503443141,156.99042,157.01042,75
2026-05-01 10:00:27.578091602,156.99176,157.01176,20
2026-05-01 10:00:28.212299647,156.99159,157.01159,16
2026-05-01 10:00:30.149594121,156.99295,157.01295,25
2026-05-01 10:00:31.388975687,156.99276,157.01276,60
2026-05-01 10:00:31.415541482,156.99361,157.01361,45
2026-05-01 10:00:33.350565633,156.99139,157.01139,9
2026-05-01 10:00:35.567862727,156.99381,157.01381,51
2026-05-01 10:00:36.183624230,156.9953,157.0153,61
2026-05-01 10:00:36.443403692,156.99502,157.01502,40
2026-05-01 10:00:37.653217508,156.99305,157.01305,61
2026-05-01 10:00:38.257024812,156.99334,157.01334,67
2026-05-01 10:00:38.334172111,156.99189,157.01189,80
2026-05-01 10:00:38.512718598,156.99234,157.01234,76
2026-05-01 10:00:39.641753955,156.99275,157.01275,15
2026-05-01 10:00:39.759243289,156.99181,157.01181,53
2026-05-01 10:00:40.545451785,156.99293,157.01293,4
2026-05-01 10:00:41.462355586,156.99373,157.01373,23
2026-05-01 10:00:41.548761309,156.99471,157.01471,27
2026-05-01 10:00:42.226040787,156.99472,157.01472,37
2026-05-01 10:00:43.538710924,156.9933,157.0133,77
2026-05-01 10:00:44.523523014,156.99428,157.01428,43
2026-05-01 10:00:45.929112527,156.99401,157.01401,37
2026-05-01 10:00:45.978276361,156.99262,157.01262,85
2026-05-01 10:00:46.543376085,156.99397,157.01397,29
2026-05-01 10:00:48.874852969,156.99607,157.01607,29
2026-05-01 10:00:49.521327981,156.99603,157.01603,49
2026-05-01 10:00:50.055339824,156.99819,157.01819,75
2026-05-01 10:00:50.272285538,156.99828,157.01828,51
2026-05-01 10:00:51.061051975,156.9979,157.0179,50
2026-05-01 10:00:51.095033963,156.99727,157.01727,28
2026-05-01 10:00:52.941920791,156.99891,157.01891,74
2026-05-01 10:00:52.976373302,156.99813,157.01813,5
2026-05-01 10:00:53.734611003,156.99886,157.01886,56
2026-05-01 10:00:54.452699842,156.9983,157.0183,64
2026-05-01 10:00:55.181035074,156.99784,157.01784,89
2026-05-01 10:00:56.459453557,156.99887,157.01887,97
2026-05-01 10:00:58.379017580,156.99849,157.01849,17
2026-05-01 10:00:59.903584035,156.99809,157.01809,97
2026-05-01 10:01:00.153870039,156.99922,157.01922,89
2026-05-01 10:01:00.218509513,157.00082,157.02082,97
2026-05-01 10:01:00.850771649,157.00146,157.02146,55
2026-05-01 10:01:01.168165971,157.00081,157.02081,9
2026-05-01 10:01:02.056818660,157.0003,157.0203,91
2026-05-01 10:01:03.815652816,157.00038,157.02038,89
2026-05-01 10:01:05.076977370,157.0007,157.0207,68
2026-05-01 10:01:05.189963378,156.99971,157.01971,73
2026-05-01 10:01:05.426651648,157.00043,157.02043,79
2026-05-01 10:01:05.506905221,157.00052,157.02052,16
2026-05-01 10:01:05.991961323,156.9988,157.0188,16
2026-05-01 10:01:06.218771639,156.99787,157.01787,13
2026-05-01 10:01:06.246462902,156.99737,157.01737,78
2026-05-01 10:01:06.539436519,156.9973,157.0173,86
2026-05-01 10:01:06.618161538,156.99919,157.01919,85
2026-05-01 10:01:07.034093488,156.99943,157.01943,73
2026-05-01 10:01:07.187662755,156.99858,157.01858,63
2026-05-01 10:01:07.283665100,156.99881,157.01881,41
2026-05-01 10:01:08.680468983,156.99845,157.01845,53
2026-05-01 10:01:09.842555445,156.99878,157.01878,68
2026-05-01 10:01:10.350101418,156.99936,157.01936,74
2026-05-01 10:01:10.758378502,157.00057,157.02057,99
2026-05-01 10:01:11.357007536,157.00054,157.02054,9
2026-05-01 10:01:11.451512120,157.00218,157.02218,51
2026-05-01 10:01:11.778490088,157.00309,157.02309,48
2026-05-01 10:01:11.847191940,157.00238,157.02238,80
2026-05-01 10:01:12.338263594,157.00459,157.02459,49
2026-05-01 10:01:12.944524999,157.00492,157.02492,18
2026-05-01 10:01:14.048370736,157.00408,157.02408,10
2026-05-01 10:01:15.695216699,157.00574,157.02574,85
2026-05-01 10:01:16.824914444,157.00782,157.02782,54
2026-05-01 10:01:17.150143406,157.00778,157.02778,79
2026-05-01 10:01:17.839802173,157.00728,157.02728,15
2026-05-01 10:01:18.031090658,157.00711,157.02711,11
2026-05-01 10:01:19.169966341,157.00782,157.02782,40
2026-05-01 10:01:19.425103886,157.0091,157.0291,47
2026-05-01 10:01:21.378263440,157.00967,157.02967,20
2026-05-01 10:01:21.746242325,157.00977,157.02977,98
2026-05-01 10:01:22.005610237,157.01127,157.03127,22
2026-05-01 10:01:22.209480869,157.01096,157.03096,48
2026-05-01 10:01:22.987301181,157.01199,157.03199,82
2026-05-01 10:01:23.667887338,157.0117,157.0317,16
2026-05-01 10:01:23.843276422,157.01213,157.03213,5
2026-05-01 10:01:24.287597262,157.01202,157.03202,65
2026-05-01 10:01:24.815109263,157.01196,157.03196,83
2026-05-01 10:01:25.473696019,157.01158,157.03158,74
2026-05-01 10:01:26.421796363,157.01293,157.03293,21
2026-05-01 10:01:26.903534164,157.0122,157.0322,61
2026-05-01 10:01:27.142440787,157.01146,157.03146,77
2026-05-01 10:01:27.181021691,157.01358,157.03358,55
2026-05-01 10:01:27.269577436,157.01455,157.03455,24
2026-05-01 10:01:27.512217766,157.01217,157.03217,23
2026-05-01 10:01:27.528754637,157.0116,157.0316,87
2026-05-01 10:01:27.694814999,157.00979,157.02979,11
2026-05-01 10:01:29.309061196,157.00884,157.02884,47
2026-05-01 10:01:30.774143825,157.0057,157.0257,2
2026-05-01 10:01:31.846653893,157.00557,157.02557,70
2026-05-01 10:01:31.911070928,157.00442,157.02442,53
2026-05-01 10:01:32.315876476,157.00448,157.02448,11
2026-05-01 10:01:32.861782484,157.00286,157.02286,15
2026-05-01 10:01:33.613849277,157.00294,157.02294,73
2026-05-01 10:01:33.673536666,157.00253,157.02253,12
2026-05-01 10:01:34.280087436,157.00403,157.02403,36
